ALIM_CODE;FOOD_LABEL;nrj_kj;nrj_kcal;eau_g;sel_g;sodium_mg;magnesium_mg;phosphore_mg;potassium_mg;calcium_mg;manganese_mg;fer_mg;cuivre_mg;zinc_mg;selenium_mcg;iode_mcg;proteines_g;glucides_g;sucres_g;fructose_g;galactose_g;glucose_g;lactose_g;maltose_g;saccharose_g;amidon_g;polyols_g;fibres_g;lipides_g;ags_g;agmi_g;agpi_g;ag_04_0_g;ag_06_0_g;ag_08_0_g;ag_10_0_g;ag_12_0_g;ag_14_0_g;ag_16_0_g;ag_18_0_g;ag_18_1_ole_g;ag_18_2_lino_g;ag_18_3_a_lino_g;ag_20_4_ara_g;ag_20_5_epa_g;ag_20_6_dha_g;retinol_mcg;beta_carotene_mcg;vitamine_d_mcg;vitamine_e_mg;vitamine_k1_mcg;vitamine_k2_mcg;vitamine_c_mg;vitamine_b1_mg;vitamine_b2_mg;vitamine_b3_mg;vitamine_b5_mg;vitamine_b6_mg;vitamine_b12_mcg;vitamine_b9_mcg;alcool_g;acides_organiques_g;cholesterol_mg
6102;Boeuf, gîte à la noix, cru;622;148;68.9;0.14;54.3;22;185;334;10.3;0.012;1.85;0.086;4.16;6.5;0.9;21.3;0;0;0;0;0;0;0;0;0;0;0;7.05;2.72;3.67;0.32;0;0;0;0.028;0.019;0.21;1.66;0.81;2.57;0.12;0.079;0.061;0;0;3;0;0.4;0.29;1.4;3.7;0;0.063;0.13;6.09;0.75;0.56;1.45;9;0;0;68
6103;Boeuf, entrecôte, crue;961;231;62.5;0.075;29.8;19.5;154;270;5.44;0.011;2.21;0.066;4.25;8.13;1.1;19.4;0;0;0;0;0;0;0;0;0;0;0;17.1;8.07;6.36;0.48;0;0;0;0.013;0.014;0.54;4.29;2.68;5.02;0.19;0.053;0.2;0;0;14.5;0;0.45;0.66;1.5;3.7;0;0.069;0.2;3.91;0.6;0.29;1.85;4;0;0;69
6111;Boeuf, faux-filet, cru;639;152;70.5;0.082;32.2;21.3;189;318;9.28;0.011;2.26;0.076;3.26;10.6;0.9;22.3;0.6;0;0;0;0;0;0;0;0;0;0;6.74;2.51;2.57;0.58;0;0;0;0.0055;0.0054;0.18;1.44;0.77;2.04;0.33;0.032;0.049;0;0.00086;19;0;0.55;0.37;1.4;3.7;0;0.059;0.15;5.77;0.73;0.48;1.19;9.6;0;0;67.3
6160;Boeuf, tende de tranche, crue;488;116;74.8;0.078;31.1;17;196;329;7.93;0.006;2.75;0.061;3.46;10.1;0.9;23.1;0.57;0;0;0;0;0;0;0;0;0;0;2.34;0.8;0.82;0.19;0;0;0;0.004;0;0.044;0.47;0.23;0.64;0.068;0.014;0.058;0.004;0.002;3;0;0.4;0.23;1.5;3.7;0;0.06;0.18;5.21;0.63;0.51;1.16;5.5;0;0;61.5
8315;Mousse de canard;1630;395;44.4;1.58;627;15.6;175;180;15.3;0.16;5.5;0.45;2.37;21;10;10.1;7.07;2.05;0.15;0;0.53;0.6;0.15;0.65;0.88;0;0.45;36.1;13.7;13.1;6.18;0.0067;0.0067;0.027;0.029;0.035;0.45;7.95;4.19;13;5.67;0.37;0.13;0.0028;0.0072;2500;0;0.23;0.65;0;0;5.9;0.17;0.41;5.6;1.67;0.19;8.07;156;0;0;148
8324;Foie gras, canard, bloc, 30% de morceaux;2010;489;39.1;1.29;514;13.8;149;209;20.2;0.05;2.1;0.08;1.5;10;12;6.88;2.43;1.41;0.15;0;0.6;0;0.15;0.15;0.19;0;0;50.1;21.6;27.1;0.76;0.025;0.025;0.025;0.025;0.025;0.41;13.2;7.94;19.5;0.61;0.053;0.092;0;0.0049;7;0;0.36;0.41;0;9;0.7;0.24;0.16;3;0.5;0.21;0.68;10;0;0;77.2
8450;Museau de boeuf;637;151;66.1;2.08;806;13.8;149;209;20.2;0.05;1.1;0.08;1.5;10;12;26.2;0;0;0;0;0;0;0;0;0;0;0;5.17;2;2.33;0.56;0.0025;0.0026;0.0025;0.0048;0.005;0.071;1.24;0.65;2.01;0.51;0.038;0.014;0;0.00072;7;0;0.36;0.41;0;9;0.7;0.24;0.16;3;0.5;0.21;0.68;10;0;0;77.2
9121;Riz, mélange de variétés (blanc, complet, rouge, sauvage, etc.), cru;1500;353;12.2;0.025;10;136;401;388;40;2.03;4.44;0.51;3.1;12.8;0;7.14;78.1;0.5;0.018;0;0.061;0;0.38;0.043;52.8;0;1.5;1;0.2;0.23;0.53;0;0;0;0;0;0;0.099;0.0099;0.23;0.43;0.021;0;0;0.0077;0;6.5;0;1.7;1.8;0;0;0.36;0.14;2.1;0.77;0.49;0;115;0;0;0
9200;Maïs entier, cru;1460;346;13.6;0.01;4;100;260;320;40;0.8;3.2;0.2;1.9;12.8;0;8.1;67.2;1.6;0.057;0;0.2;0;1.21;0.14;64.1;0;5.7;3.7;0.62;0.83;1.96;0;0;0;0;0;0.0032;0.35;0.057;0.83;1.8;0.032;0;0;0.029;0;6.5;0;1.7;1.8;0;0;0.4;0.14;2.1;0.6;0.5;0;115;0;0;0
9231;Pop-corn ou Maïs éclaté, à l'air, non salé;1750;417;3.32;0.02;8;144;358;329;7;1.11;3.19;0.26;3.08;3.78;2.5;10.2;60;0.87;0.07;0;0.07;0;0;0.72;54.4;0;12.8;12.3;4.57;0.95;2.32;0;0;0;0;0;0;0.54;0.076;0.95;1.4;0.037;0.0012;0;0;0;89;0;0.29;1.2;0;0;0.1;0.083;2.31;0.51;0.16;0;31;0;0;0
